Hebrew Trans,Septuagint Trans,Gallican Psalter Trans,Hebrew Psalter Trans
"to deliver their soul from death, and to keep them alive in famine.",to deliver their souls from death and to nourish them in famine.,That he may deliver their souls from death: and nourish them in famine.,"To deliver their soul from death, and to keep them alive in famine."
Our soul waits for the LORD; he is our help and our shield.,"Our soul waits upon the Lord, for he is our helper and our shield.",Our soul waits for the Lord: for he is our helper and protector.,Our soul has waited for the Lord; he is our help and our shield.
"For in him our heart rejoices, because in his holy name we have trusted.","For in him our heart shall rejoice, and in his holy name we have hoped.",For in him our heart shall rejoice: and in his holy name we have hoped.,"For in him our heart shall rejoice, because we have hoped in his holy name."
"Let your lovingkindness, O LORD, be upon us, even as we have hoped in you.","May your mercy, O Lord, be upon us, even as we have hoped in you.","Let your mercy, O Lord, be upon us: even as we have hoped in you.","Let your mercy, O Lord, be upon us, even as we have hoped in you."
"Of David, when he changed his behavior before Abimelech, who drove him away, and he departed.","Of David, when he changed his countenance before Abimelech, and he released him, and he departed.","Of David, when he changed his countenance before Abimelech, and he dismissed him, and he departed.","Of David, when he changed his countenance before Abimelech, and he dismissed him, and he departed."
I will bless the LORD at all times; his praise shall continually be in my mouth.,I will bless the Lord at all times; continually his praise shall be in my mouth.,I will bless the Lord at all times; his praise shall always be in my mouth.,I will bless the Lord at all times; his praise shall always be in my mouth.
In the LORD my soul shall boast; the humble shall hear and be glad.,In the Lord my soul shall be praised; let the meek hear and be glad.,In the Lord my soul shall be praised; let the meek hear and be glad.,In the Lord my soul shall rejoice; let the meek hear and be glad.
"Magnify the LORD with me, and let us exalt his name together.","Magnify the Lord with me, and let us exalt his name together.","Magnify the Lord with me, and let us exalt his name together.","Magnify the Lord with me, and let us exalt his name together."
"I sought the LORD, and he answered me, and from all my fears he delivered me.","I sought the Lord, and he heard me, and from all my sojournings he delivered me.","I sought the Lord, and he heard me, and he delivered me from all my tribulations.","I sought the Lord, and he heard me, and delivered me from all my distresses."
"They looked to him and were radiant, and their faces shall not be ashamed.","Come to him and be enlightened, and your faces shall not be put to shame.","Draw near to him and be enlightened, and your faces shall not be confounded.","Look to him and come together, and your faces shall not be confounded."
"This poor man cried, and the LORD heard, and saved him out of all his troubles.","This poor man cried out, and the Lord heard him, and saved him out of all his afflictions.","This poor man cried out, and the Lord heard him, and saved him from all his tribulations.","This poor man cried, and the Lord heard him, and will save him from all his tribulations."
"The angel of the LORD encamps around those who fear him, and delivers them.","The angel of the Lord shall encamp around those who fear him, and shall deliver them.","The angel of the Lord shall encamp around those who fear him, and shall deliver them.","The angel of the Lord encamps around those who fear him, and will rescue them."
Taste and see that the LORD is good; blessed is the man who takes refuge in him.,Taste and see that the Lord is good; blessed is the man who hopes in him.,Taste and see that the Lord is sweet; blessed is the man who hopes in him.,Taste and see that the Lord is good; blessed is the man who hopes in him.
"Fear the LORD, you his holy ones, for there is no want to those who fear him.","Fear the Lord, you his holy ones, for there is no want to those who fear him.","Fear the Lord, all you his saints, for there is no want to those who fear him.","Fear the Lord, you his saints, for there is no want to those who fear him."
"Young lions suffer lack and hunger, but those who seek the LORD shall not lack any good thing.","The rich have become poor and hungered, but those who seek the Lord shall not be diminished of any good thing. Interlude.","The rich have been in need and have hungered, but those who seek the Lord shall not be deprived of any good thing. Selah.","Lions have been in need and have hungered, but those who seek the Lord shall not lack any good thing."
